uid,iid
915,226
916,765
845,766
917,582
589,100
918,242
919,455
105,564
920,767
921,768
922,706
923,187
924,574
786,179
925,556
841,769
513,256
926,660
616,770
760,771
927,51
249,546
928,172
844,603
929,772
930,773
931,774
406,775
932,776
933,777
934,439
45,62
564,741
935,778
936,779
937,665
244,780
283,781
938,438
939,782
940,490
941,464
942,783
943,65
944,784
320,785
945,786
946,571
496,787
947,498
948,2
949,587
950,681
951,43
952,788
953,789
954,514
955,469
845,156
461,790
956,53
957,1
958,791
27,25
959,792
670,713
326,69
960,611
961,426
962,793
817,430
963,794
530,256
964,795
900,160
965,602
966,671
967,796
968,797
969,170
790,798
970,232
971,674
972,711
973,799
974,708
163,562
975,435
976,125
731,800
287,159
168,349
977,801
725,61
978,623
947,802
979,803
980,42
981,55
982,804
830,589
855,745
983,0
984,70
985,805
986,806
987,141
988,807
989,808
990,657
991,809
992,810
993,720
994,811
995,812
559,711
996,813
997,407
764,814
998,815
541,715
220,48
999,383
254,292
458,532
997,297
1000,235
1001,597
760,654
1002,816
1003,817
1004,557
1005,729
601,571
1006,72
1007,118
1008,130
1009,651
553,758
1010,250
1011,818
983,512
621,107
1012,760
1013,819
72,29
804,590
1014,302
1015,820
1016,821
1017,294
1018,822
1019,823
1020,282
1021,824
1022,825
1023,826
195,827
1024,828
1025,813
1026,829
1027,830
1028,594
1029,831
1030,832
1031,833
1032,435
1033,233
99,834
1007,835
976,836
332,837
1034,121
332,708
1035,61
900,318
1036,838
934,370
1037,839
310,793
1038,427
1039,840
1040,561
338,841
1041,842
1042,843
480,532
1043,547
1044,464
1045,844
1046,620
618,845
1047,663
72,846
1048,762
1049,17
1050,99
1051,847
1052,848
1008,849
1053,817
1054,845
1055,829
770,85
1056,844
904,850
973,101
1057,851
398,852
687,554
0,853
1058,854
1059,644
1060,855
332,856
1061,857
1062,858
802,314
1063,454
1064,433
1065,429
1066,61
363,153
1067,859
1068,435
1069,860
393,173
739,132
1070,60
1071,861
1072,69
1073,862
1074,863
1075,523
1076,238
942,540
1077,864
434,865
450,866
1078,147
1079,157
1080,867
1081,725
673,63
1082,142
1050,868
246,332
1083,869
1084,446
896,484
644,334
439,870
1085,150
1086,871
795,641
947,872
1087,873
1088,646
1089,464
811,874
920,443
1090,875
1091,876
680,331
227,877
1092,878
1093,879
829,880
1094,881
1095,882
914,883
630,10
1030,430
181,884
295,885
1046,886
1096,887
1097,888
1098,162
1099,598
1100,414
332,607
1101,889
585,879
102,182
460,890
1102,891
1103,476
888,524
26,892
1104,333
1011,287
938,644
1105,713
38,316
1106,767
1107,194
1108,893
1109,434
188,120
439,767
1110,776
600,502
1111,894
1112,895
322,396
1113,782
830,867
1114,229
1115,896
788,407
179,73
1116,897
1117,382
1118,722
1119,483
1120,898
1121,309
29,899
1122,233
1123,900
1124,513
1125,901
679,884
1126,902
1127,903
48,904
943,775
1128,875
1123,905
907,68
1129,41
1130,729
1131,643
1132,906
156,907
1133,493
1134,363
1135,908
8,909
985,543
283,910
1136,187
1137,911
100,536
1138,203
462,912
252,681
556,878
1074,913
650,914
1139,510
408,309
1140,840
419,608
701,507
100,915
87,916
1141,857
1142,917
1143,433
1144,238
1145,720
1146,92
1147,151
1148,918
1149,919
1150,460
1151,584
707,789
1152,874
1153,920
601,921
1154,922
1155,923
1156,924
1157,747
512,925
13,926
90,266
1016,927
1158,411
138,45
1159,722
1160,150
165,928
1161,929
1162,930
1163,614
90,931
1164,932
1165,933
1166,934
326,161
1167,935
1168,703
385,936
1169,937
873,708
1056,893
1170,151
1171,11
1172,331
973,399
211,189
1045,696
1077,55
818,938
1173,834
1174,939
1175,940
1176,665
1043,327
1177,941
1178,345
795,370
1097,204
1179,942
462,131
1180,51
1181,256
1182,420
1183,173
584,170
1015,482
1184,426
1014,834
980,779
1185,943
1186,471
1187,944
1188,945
392,946
1189,352
187,947
1190,147
1191,948
1192,398
1193,907
1194,949
1195,500
1186,950
419,951
1136,952
990,953
364,511
1196,954
1197,233
1198,41
1199,644
1200,809
1201,269
200,86
1116,556
538,955
818,956
148,524
612,582
589,957
1202,644
1203,944
1204,958
8,6
631,298
1205,959
1206,749
1060,455
1207,81
1208,960
27,105
673,961
1209,635
1210,962
1211,303
1212,963
277,836
602,964
1213,577
341,209
1214,462
1215,437
60,416
1216,965
97,397
1217,966
1218,164
932,967
1219,777
1220,165
459,433
600,174
287,968
1221,969
1222,524
1223,100
640,801
412,970
13,971
93,972
1224,516
1225,973
1226,974
943,339
1227,975
1228,495
805,424
1229,825
1230,976
1231,289
1232,162
333,977
163,978
1233,746
1234,979
371,700
1222,749
461,980
969,416
1235,368
223,158
1022,981
694,551
1236,982
1237,276
1238,983
1239,251
1240,538
1241,125
1242,278
1018,13
1243,640
1147,224
298,187
1116,41
1244,908
1229,820
1245,758
1246,317
456,984
807,243
366,985
548,986
1247,987
1248,988
25,989
768,596
1249,696
845,511
1250,111
889,644
800,990
1251,427
977,991
277,233
962,992
1252,993
1253,994
1254,894
1255,121
1055,995
1256,996
1257,997
1258,322
1136,998
848,999
1259,816
1260,1000
332,746
1261,671
244,193
1262,1001
1263,1002
1264,1003
562,162
1265,489
1229,433
65,685
1266,517
1087,158
386,1004
1267,1005
1268,1006
1269,1007
1270,1008
456,1009
148,988
1271,1002
707,435
1272,890
1076,1010
1273,1011
1274,416
522,110
548,941
1275,81
1276,1012
1277,118
179,1013
1278,824
1279,516
228,73
317,329
416,1014
1280,1015
1281,196
231,233
250,845
1282,605
1283,1016
1284,440
1285,955
1286,617
95,1017
1287,253
1288,876
1289,1018
900,1019
387,1020
655,1021
1290,1022
607,863
1291,27
1292,868
296,561
1060,770
1293,203
1294,364
1295,1023
1296,86
1297,1024
1123,1025
656,665
1298,1026
725,151
1299,454
83,1027
32,732
167,226
582,1028
1300,456
72,1029
1301,722
962,1030
1302,1031
1303,1032
1304,1033
1305,1034
1265,1035
1306,360
393,1036
310,1037
1307,476
1308,1038
1309,109
1310,728
1311,1039
164,81
200,1040
243,1041
131,1042
370,302
860,183
1312,496
1313,1043
216,901
1314,806
1315,614
495,446
1316,303
1317,1044
1318,894
1319,387
1320,540
166,1045
1321,1046
1322,11
149,14
1323,382
864,1047
1137,207
1318,951
260,1048
61,781
620,232
1324,1049
796,384
1325,738
118,1050
770,1051
30,1050
1326,125
1327,341
368,874
100,516
1000,740
1328,1052
1329,120
424,189
1330,186
871,350
1331,724
1290,972
1332,805
545,122
1333,243
1334,1053
1335,1054
492,1055
1336,571
1337,1056
1338,86
183,106
1339,885
80,1057
1340,1058
1341,817
1342,1059
1343,411
1344,1060
1345,337
1346,251
1347,196
612,688
1310,608
1348,1061
1349,203
1350,822
1038,1062
1351,90
807,103
1352,795
1353,193
1354,345
1355,1063
849,458
1356,414
1357,219
1269,1064
1358,848
254,1065
583,1066
1359,91
1360,1067
1361,1068
1362,424
1363,53
197,1069
379,524
351,336
1008,1070
1364,721
1365,1071
1082,860
1366,1072
1367,1073
1368,1074
1369,1075
1370,274
783,1076
1371,1077
1372,1078
1373,218
1374,249
1375,1079
124,1080
829,264
1376,1081
1377,922
1378,1082
833,90
706,1083
1379,545
113,1084
1380,540
1381,962
1382,137
1383,165
1384,61
1385,829
1386,340
1387,1085
1240,1086
1190,118
1388,154
153,1087
1389,1088
1390,973
220,811
203,400
1391,456
1392,182
1393,1089
1394,1090
1024,332
934,1091
613,647
1395,1092
383,482
1396,110
1397,1093
1,507
470,200
227,128
1398,798
1399,1094
1400,650
827,1095
1401,1096
888,1097
244,1098
671,237
1019,1099
41,1100
462,1101
1402,203
1403,1102
1404,1103
739,1104
912,295
1405,681
1406,1026
1407,1105
1408,656
1409,1106
1410,1107
135,626
1411,130
1412,698
1413,173
1414,1108
1415,1109
628,968
918,74
625,1110
932,1111
1416,464
1417,154
183,265
407,1112
1359,139
95,1113
174,1114
1418,170
1419,1115
1420,451
936,1116
588,476
1421,599
380,1117
1422,138
46,1118
912,1026
1423,306
1424,66
538,1119
70,1120
1184,931
1425,540
864,241
345,51
1426,143
1427,1121
605,550
1428,1048
316,1122
1429,1123
1307,54
1430,645
491,1073
14,67
1045,888
1431,1124
1432,254
1333,356
1433,1034
596,1125
893,1063
262,670
1434,1126
231,327
993,327
666,1127
559,1128
711,1129
1435,1130
1015,1131
131,631
1436,1132
1144,120
1196,212
1437,993
151,188
766,888
752,1133
1438,365
286,644
352,164
1439,1034
1108,1134
1136,1135
1440,436
1441,1136
13,1137
620,820
726,846
1269,1138
516,1139
590,54
1010,221
1123,233
1442,57
1443,1140
426,1141
29,898
1444,407
1445,690
473,215
1446,305
1293,196
1447,524
322,1142
1448,597
1449,312
261,1143
156,191
1450,1144
1037,930
845,1145
152,540
1451,1105
1182,767
722,811
180,1146
1452,1044
1453,1147
730,1063
1454,1148
1235,131
42,1149
79,1150
1223,1009
739,97
461,27
1209,901
1455,1151
1348,306
1456,865
1457,145
1458,384
1459,12
1460,401
1461,1152
124,1001
1209,427
1462,513
788,1153
1463,1154
652,1155
855,732
1464,534
46,1156
1291,782
1465,915
1466,1157
1467,858
1468,251
1334,1158
257,1159
347,1160
464,656
1469,214
1470,489
119,868
419,338
344,365
1471,557
589,1161
426,401
559,1162
1472,196
1473,1163
1474,69
754,1164
1475,477
1476,272
459,463
1477,1165
1478,1166
1108,162
1479,91
1480,1167
1481,838
31,365
1482,97
1483,8
618,1168
42,489
1484,718
46,1169
1252,912
1077,328
1485,1170
1486,645
1487,825
1488,1171
1489,736
1490,1172
1232,628
348,115
1491,267
46,369
1162,111
1492,1173
1493,1022
928,757
46,269
1494,1174
1495,715
1496,374
1229,1175
269,1176
1497,14
1498,1105
1499,97
1500,1177
1095,42
1501,1178
528,1179
1502,838
1503,62
1504,990
1505,500
1506,1180
216,1181
1507,381
1508,867
1509,141
1510,170
694,1182
1511,384
1180,6
1512,1183
1513,712
1514,299
1515,56
1516,1182
200,1184
380,1185
1517,57
134,77
83,369
1518,1186
1504,1187
1519,343
1520,1188
1521,471
469,418
1522,528
1523,224
1524,1189
439,517
1525,1190
706,816
1526,538
477,105
1527,24
1528,1191
603,424
324,44
608,265
1529,188
791,1192
223,1193
419,1194
449,1195
1530,210
768,18
31,675
752,1196
514,826
1531,376
686,1197
1532,1198
9,1199
1533,1035
1534,877
1535,924
1013,1200
187,701
1186,1201
1536,605
1537,1202
187,1203
148,1204
1538,1205
1539,1206
419,1207
27,82
1340,1208
393,1209
1025,1178
556,441
1540,1162
1541,30
1355,594
1542,532
1519,1210
1543,1211
442,1212
1544,336
1422,1213
1545,506
276,311
983,838
1546,651
1547,92
747,271
1548,966
45,511
1549,1214
1550,81
1551,951
916,1098
1552,581
1553,1215
20,1216
1554,845
272,1217
1534,387
1555,1218
376,1081
1556,1219
894,384
1201,1220
1557,426
1558,1221
238,457
1159,233
1559,1222
1560,700
1561,454
13,732
1562,1223
1563,1224
1518,1225
328,1226
1139,400
1564,1227
1126,145
1263,1228
184,691
163,575
796,74
1565,1229
1566,1230
1567,983
970,193
1568,539
1569,25
326,1231
1002,1102
1169,540
137,1232
1570,1233
1108,1199
1571,209
1572,1012
1573,1234
1574,170
696,1235
1575,57
760,153
1576,91
1577,271
713,41
1578,996
1579,1100
384,663
1580,514
256,1236
1581,1237
1582,702
1269,316
891,1238
1205,34
1333,489
1583,95
338,385
1584,26
1585,1135
1586,1235
995,681
461,1239
1587,548
794,579
1588,615
1589,188
761,1240
1574,1067
1590,1241
430,1242
1591,79
1592,829
1593,1243
1594,1244
200,500
283,1245
943,33
837,1246
1595,1247
1596,927
1597,925
1441,438
1598,182
1599,190
1600,1248
1217,1249
36,464
153,90
1601,522
469,674
1602,305
1603,579
1604,644
800,191
1605,464
1473,1250
523,1251
1606,211
1571,263
374,1252
83,1253
1607,1064
1608,1254
1609,476
1610,1255
1273,1256
1611,729
1612,688
1613,376
1614,863
1615,1257
1616,694
652,1258
615,250
1617,1259
1618,1260
1619,510
333,258
1620,1261
1621,233
1622,729
545,534
1623,194
107,932
302,328
733,584
1624,1174
649,131
126,1262
1625,154
1128,556
1626,74
1627,1263
1343,400
1628,1264
1629,337
1491,97
841,1265
1630,261
1631,156
1632,184
1208,1019
213,500
1633,1266
696,965
1634,335
1635,1057
670,1267
1636,512
29,1268
1637,1269
945,1270
1001,1271
1638,81
1639,1272
146,535
1640,401
1641,1273
1642,655
1643,767
1644,1274
1645,1275
1646,489
1647,489
1648,660
1649,250
804,41
1650,331
1651,1276
564,188
72,1209
1652,1022
1609,418
1653,484
377,719
1654,148
1409,534
319,292
1655,28
1656,312
785,202
1657,732
103,1277
902,618
1658,717
1659,1278
380,224
1504,433
1660,948
1661,1279
1604,1280
692,1281
1662,640
1663,1282
1664,1283
1665,1006
1666,1284
670,853
29,1285
998,693
1333,519
223,1286
1647,794
1264,699
1090,125
1589,1287
1667,484
155,1288
1668,821
1669,805
1670,1289
1671,1290
1672,1291
1249,832
599,77
1673,203
185,1024
1674,152
1151,533
1675,134
1676,1292
1677,134
984,0
671,515
360,982
1678,450
568,449
1679,43
573,907
1680,518
1136,384
1681,441
617,795
905,278
83,1293
461,91
1682,626
1683,1294
255,442
58,292
758,383
1684,1295
1685,1175
1686,732
810,383
738,1175
574,1025
1687,1296
1688,1297
1291,155
1689,148
112,1298
1690,1052
626,1299
1691,1300
1692,904
651,392
1693,1009
1694,233
1695,1127
1696,50
1692,315
493,1301
1697,359
1123,1302
20,512
9,1140
1698,670
562,860
1165,193
1699,1303
1552,24
1311,12
164,379
1700,832
1354,1304
1701,681
1374,1305
634,292
1702,1306
27,1237
431,649
572,276
1703,238
1499,1099
1704,898
888,826
1705,173
1706,597
1707,411
1708,1001
1709,1307
431,316
241,215
1710,1308
845,600
112,1309
1711,1063
1712,1178
612,0
735,597
1713,1310
1714,1037
1497,508
1715,1134
935,215
1716,356
303,1311
1717,193
98,611
1718,898
1719,1135
50,1312
117,19
84,1170
1720,245
1721,651
1670,1313
1722,110
928,1153
823,397
1632,1011
349,1314
1723,193
1724,1315
113,223
1458,1316
1264,1245
1589,1317
559,574
1725,496
712,1318
1412,861
1726,209
1727,1272
208,481
1728,295
1729,146
89,810
602,1319
1730,588
1731,194
1732,1320
1238,462
13,782
1733,144
1734,538
1257,645
41,810
1735,250
1736,816
1737,1321
156,1322
1738,687
928,575
738,1322
1739,303
1740,1323
176,436
1741,945
1742,1032
1742,1324
1743,915
1744,209
1262,731
1745,1325
269,1326
461,1327
1011,507
845,1328
1746,1111
105,660
374,836
131,426
542,1329
760,1169
1747,1330
1259,1331
293,966
1748,1332
1746,813
1749,598
602,1333
1750,836
1751,797
1752,1334
1753,418
799,1335
1668,88
99,1336
462,464
261,1299
1754,872
1755,191
880,441
1756,993
257,1290
1757,611
144,393
647,1337
1758,208
1759,863
948,736
1760,1074
1761,477
862,1338
124,1339
1762,81
658,1340
1584,1048
900,353
352,1175
1763,1341
1764,551
317,161
31,246
1765,226
1766,890
1137,1096
897,1140
134,1342
1767,1343
1768,807
1769,1344
1560,944
819,694
298,673
856,829
29,1345
1770,11
871,86
1771,368
177,1346
802,927
1772,516
1773,826
752,1197
1774,543
1775,158
460,1347
27,687
694,185
349,1078
1776,1022
1777,834
1778,6
1779,397
1780,309
1781,1245
1782,524
1783,21
1784,809
426,932
31,342
211,1348
1785,1349
1378,1053
1658,753
280,1350
1672,248
542,1292
462,790
1625,904
959,380
1276,1351
1474,786
1786,1014
462,798
434,101
560,907
58,1352
832,541
959,915
100,166
1787,574
1506,1254
260,120
1788,1353
1789,559
1067,1354
1790,347
314,1233
989,470
1611,99
1791,1203
1792,908
477,267
1793,721
242,891
1320,1326
1794,137
1795,485
1796,268
45,42
1797,24
1798,537
1799,38
1800,861
445,706
1801,1355
1802,1356
866,771
887,1357
1780,56
475,1358
1803,1359
1043,1107
626,1360
916,1361
959,1362
1725,1363
1804,1364
1805,665
1518,144
1806,1365
1807,460
1808,1366
897,339
459,1367
698,510
333,69
1074,684
1809,696
1810,44
1811,62
1812,1368
1813,1187
124,895
1131,137
658,1369
1814,151
0,471
572,1030
1815,471
1816,1174
1730,1370
1736,242
1314,1371
191,515
943,878
426,204
1289,1372
1299,1373
1817,1374
165,1375
1818,1192
1719,1376
670,143
929,1377
575,1378
1569,13
431,74
1456,1379
719,585
1275,500
1819,546
1820,524
1100,467
1425,189
1085,1374
1821,786
1822,518
1823,1380
1706,456
1824,323
1825,832
1636,359
1826,354
687,911
428,1381
1827,1382
606,356
164,1383
1828,271
517,970
1829,925
79,1074
1830,229
1825,1384
1831,127
1832,1385
1462,543
1833,663
1834,347
1184,5
166,1051
428,355
1835,699
1836,210
634,1386
589,864
1837,1250
1327,64
290,1387
1838,1026
1839,890
1840,363
1841,127
1012,1388
1842,1389
428,412
1178,973
1843,1390
13,1375
325,60
1844,554
784,638
426,305
69,1375
1845,671
1582,194
101,1391
904,1171
1846,508
1847,1365
1848,147
1287,727
382,81
477,276
1770,982
1348,374
1849,1302
1850,7
1851,289
1852,435
506,653
1853,1078
749,1392
1854,774
1269,62
1126,1393
752,1394
1855,0
651,203
1802,324
1856,86
1109,1395
1432,1179
1268,196
1143,813
1329,1396
128,57
1857,125
1858,1365
79,1397
1859,1398
1860,315
1861,305
1862,798
1863,401
1864,539
542,1399
1865,681
1866,1400
584,432
1867,44
1868,226
861,1401
871,635
1869,1173
1870,13
1871,564
1193,1402
718,125
1486,28
844,1306
1150,253
1872,1403
522,1404
1873,1031
1227,247
1501,562
210,1243
1874,220
48,998
1565,407
1875,422
1809,1405
1876,535
1877,1406
1418,1284
1015,439
523,656
1878,1407
1879,91
660,1408
30,1409
1880,381
344,136
315,1410
1881,926
1882,86
9,48
687,300
548,1411
1883,540
1884,672
1116,480
1885,744
312,1412
1886,131
99,490
513,3
1887,924
146,640
1888,1413
1222,1396
1889,285
112,1336
1890,1038
924,876
1891,1414
1892,215
1893,836
409,332
1894,439
299,993
508,639
1895,670
1896,173
1897,829
1898,1415
1899,127
212,559
1900,1140
1434,1416
512,1417
1674,400
1283,6
1901,1030
87,1418
556,916
1140,1419
529,1420
697,1187
1064,20
1902,1040
1486,947
323,173
873,1421
634,1422
1903,1407
840,892
1904,602
85,553
1905,347
1906,43
1730,511
1907,1358
255,1423
85,432
1908,1424
1909,1425
307,694
1910,282
1911,302
723,32
366,1081
1912,1201
1898,460
867,1426
1913,154
1066,811
360,1427
1147,1428
1914,626
996,249
1549,356
602,1134
1915,374
518,1429
1916,1182
25,1430
1608,1105
257,656
1652,645
1518,53
1377,276
1243,253
1394,444
1917,646
1149,1033
1918,1431
1919,1432
1920,1295
673,1433
1921,678
1922,233
1923,1434
1329,448
1924,107
170,149
1925,1302
1838,199
223,1315
764,1187
1926,1044
1927,970
1348,185
1718,896
1928,758
1539,1148
412,932
889,401
799,723
1559,825
1200,392
1929,890
151,1435
1823,1436
1930,1437
124,1438
1761,1439
1931,396
1932,298
842,809
1082,261
1933,1440
542,407
1934,995
1028,1199
1935,203
896,1441
1936,387
1937,251
1938,1334
1923,1281
477,1442
1745,1443
1939,883
1940,500
1636,1444
1264,1445
1701,1446
1941,322
20,326
1942,1199
1943,1447
1023,1448
438,74
1427,1449
1183,1450
412,1451
1944,141
829,712
1945,1452
464,425
